区域,行政区,站点,全职分拣,全职白班,全职水产,全职夜班,夜班分拣,资深副站长,副站长,果切员,库管员,上架员,果蔬加工员,门店地址,面试联系人,联系方式,longitude,latitude
深圳6区,福田区,竹香站,10,,1,,,,,,,,,深圳市福田区梅林街道梅丰社区梅华路103号南鹏大厦二层201,,,114.015648,22.541939
深圳13区,宝安区,中亚站,,,,,,,,,,,,深圳市宝安区上头田新村西1门西北50米家美乐超市旁边（小象超市）,,,113.820465,22.741179
深圳6区,龙岗区,中兴站,20,,3,,,,,,,,,深圳市福田区金田路2022号华轩大厦一层,,,114.069359,22.623772
深圳5区,福田区,中和站,8,1,1,,1,,,,,,,深圳市福田区侨香路香蜜湖文化风情街A区（1979文化创意园A区1栋一层部分）,,,114.046638,22.514776
深圳1区,坪山区,振环站,5,,,,,,,,,,,广东省深圳市龙岗区宝龙街道同富路鼎泰大厦美团买菜,,,114.331665,22.673998
深圳12区,光明区,长圳站,4,,1,,,,,,,,,深圳市光明区公明镇长圳路118号（振惠工业园）,,,113.908302,22.718418
深圳12区,光明区,长旺站,,,,,,,,,,,,深圳市光明区公明街道风景路171号的九紫东景一楼商业用房,,,113.903534,22.786966
深圳4区,龙岗区,长龙站,8,,,,,,,,,,,广东省深圳市罗湖区新秀村秀南街61号2栋1楼,,,114.109975,22.596977
深圳12区,宝安区,云谷站,3,,,,,,,,,,,深圳市宝安区石岩街道宝石南路工业投资公司第三工业区6、7、8栋综合楼一层10,,,113.92926,22.671925
深圳9区,南山区,粤海站,10,,,,2,,1,,,,,深圳市南山区东滨路3036号南油文化广场1F-39,,,113.94783,22.550554
深圳8B区,龙华区,悦兴站,11,,1,,,,,,,,,深圳市龙华区悅兴路45号2栋一层102,,,114.032394,22.710291
深圳1区,坪山区,远香站,10,,1,,,,,,,,,东莞市大朗镇长塘明上街99号101室,,,114.359305,22.684705
深圳7区,龙华区,元芬站,1,,,,,,,,,,,龙华区上油松村油联路12号,,,113.999875,22.653492
深圳6区,福田区,裕亨站,6,,,,4,,,,1,,1,深圳市宝安区西乡大道宝源工业区盛华工业大厦A栋125室,,,114.072739,22.515787
深圳7区,龙华区,油联站,,,,,,,,,,,,惠州东风易进工业有限公司内,,,114.046715,22.635468
深圳11区,宝安区,永丰站,2,,,,,,,,,,,宝田四路宝树科技工业园4栋,,,113.831241,22.678925
深圳4A区,罗湖区,银湖站,,,,,,,,,,,,深圳市盐田区沙头角保税区7栋1楼美团买菜,,,114.089767,22.568907
深圳12区,谷丰站,溢兴站,2,1,,,,,,,,,,深圳市光明区新围路36-1中源百货一楼（淄博烧烤旁边）,,,113.909164,22.764046
深圳7区,龙华区,颐丰站,8,,,,3,,,,,,,惠州市惠城区演达大道16号华晟豪庭1层05号,,,113.988663,22.688831
深圳11A区,宝安区,兴东站,10,,2,,3,,,,,,,深圳市宝安区西乡街道铁仔路52升业空间A栋1层,,,113.919083,22.58415
深圳2区,龙岗区,新南站,2,,1,,,,,,,,,深圳市宝安区沙井街道和一社区蚝四西部工业区3栋一层（菩盛源科技园）,,,114.132751,22.688046
深圳8A区,龙华区,新澜站,2,,2,,1,,,,2,2,2,深圳市龙华区观湖街道观城社区横坑路42 号1 层,,,114.05619,22.711388
深圳4区,龙岗区,翔鸽站,8,,,,,,,,,,,深圳市罗湖区银湖汽车站候车大厅,,,114.130676,22.597649
深圳6区,福田区,香蜜站,,,,,,,,,,,,深圳市福田区福田街道岗厦社区福华路322号文蔚大厦,,,114.030106,22.55184
深圳9A区,南山区,文新站,4,,,,,,,,,,,深圳市龙岗区坂田街道大发埔社区里浦街7号德众电商产业园2栋101号,,,113.952538,22.57674
深圳6区,福田区,文蔚站,15,,,,2,,,,,,,深圳市福田区福田街道金地名津广场福田口岸商业广场1楼,,,114.069595,22.535318
深圳11区,宝安区,旺业站,2,,,,1,,,,,,,,,,113.86953,22.602339
深圳9区,南山区,万众站,10,,,,3,,,,,,,深圳市南山区高新技术产业园区R1栋一楼,,,113.967781,22.535801
深圳1区,龙岗区,万兴站,,,,,,,,,,,,深圳市宝安区富源滨海春城1栋商场107,,,114.41951,22.627348
深圳2区,龙岗区,万福站,8,,,,,,,,,,,深圳市龙岗区平湖街道建南路1号(丹华隆箱包1楼最左边的入口）,,,114.144165,22.680141
深圳11区,宝安区,同富站,2,,1,,,,,,,,,,,,113.864723,22.656185
深圳4区,罗湖区,田贝站,5,,,1,,,,,,,,深圳市罗湖区东门街道立新路68号好年华大厦1楼小象超市,,,114.127243,22.560122
深圳6区,福田区,天安站,15,2,1,1,4,,,,,,2,深圳市龙岗区坂田街道坂田社区中兴路河背工业区1号（快马鲜生总部 ）,,,114.031235,22.530855
深圳9A区,南山区,陶然站,8,,,,4,,,,,,,南山区西丽工业区腾达时代公馆对面小象超市,,,113.978989,22.554239
深圳13区,宝安区,塘尾站,,,,,,,,,,,,深圳市宝安区沙井街道蚝乡社区锦程路2068号千金方大厦一单元101,,,113.817329,22.702696
深圳7区,福田区,塘厦站,6,,2,,,,1,,,,,深圳市龙华区民治街道上芬社区西头工业区3号101室,,,114.098097,22.814215
深圳4区,罗湖区,太安站,20,,2,,10,,,,,,,深圳市罗湖区聚宝路仙湖枫景家园裙楼101号,,,114.14061,22.572742
深圳13区,宝安区,松福站,1,,,,,,,,,,,广东省深圳市宝安区福海街道稔田社区福安广场2栋农贸市场-33,,,113.80162,22.762159
深圳12区,宝安区,石岩站,,,,,,,,,,,,深圳市宝安区石岩街道金台路7号,,,113.930862,22.689278
深圳5区,福田区,石厦站,5,,2,,,,,,,,,深圳市福田区沙头街道天安社区泰然五路4号天展大厦一层F2.61A,,,114.052582,22.516439
深圳2区,龙岗区,盛平站,,,,,,,,,,,,深圳市宝安区新和大道共和社区第八工业园伟联大厦1楼,,,114.254689,22.731041
深圳9A区,南山区,深职站,4,,,,3,,,1,,,,深圳市南山区前海路以东心语家园商铺一楼,,,113.947325,22.584336
深圳7区,龙华区,上丰站,5,,,,,,,,,,,深圳市龙华区大浪街道华荣路278号华信购物广场（茂林花店旁）,,,114.011597,22.632404
深圳3区,龙岗区,沙湾站,,,,,,,,,,,,深圳市龙岗区南湾街道翠山路15-2号（深圳班邦服饰有限公司旁）,,,114.154327,22.610893
深圳12区,宝安区,沙浦站,5,,,,,,,,,,,深圳市宝安区松岗街道沙浦二路64号,,,113.82975,22.779806
深圳10区,宝安区,三路站,8,2,1,,2,,,,,,,深圳市坪山区新强路10号铭帆供应链有限公司,,,113.911179,22.578638
深圳7区,龙华区,润达站,15,,2,,10,1,,2,,,,惠州市惠阳区人民四路太东高地一楼小象超市,,,114.023705,22.626299
深圳2区,龙岗区,如意站,,,,,,,,,,,,深圳市龙岗区布吉街道东方半岛社区景芬路5号慢城翰文居1栋02铺（定位：锋记烧鹅皇）,,,114.226102,22.701692
深圳13区,宝安区,荣泰站,2,,,,,,,,,,,深圳市南山区西丽街道新围社区新围村石岭工业区6栋一层,,,113.825356,22.726252
深圳8A区,龙华区,清祥站,5,,,,2,,,,1,3,,深圳市龙华区龙华街道清湖社区清祥路23号德信昌科技园D栋,,,114.059923,22.665394
深圳8A区,龙华区,清龙站,,,,,,,,,,,,深圳市龙华区龙华街道清华社区梅龙大道2229号清湖铭泉,,,114.042435,22.666273
深圳9区,南山区,侨城站,8,,,,7,,,,,,,深圳市南山区南油B区69栋,,,113.995529,22.53945
深圳9区,南山区,前海站,10,,,,5,,,,,,,深圳市南山区科技园琼宇路5号,,,113.910255,22.514585
深圳3区,龙岗区,埔厦站,,,,,,,,,,,,深圳市龙岗区埔厦路80号万马奔腾产业园5栋103、104 小象超市,,,114.182838,22.646435
深圳1区,龙岗区,坪东站,,,,,,,,,,,,广东省深圳市坪山区马峦街道坪环社区振环路1号京基御景印象四期1栋C单元139-147号,,,114.310699,22.771219
深圳2区,龙岗区,鹏达站,10,,,,,,,,,,,深圳市龙岗区爱龙路81号,,,114.256973,22.712481
深圳9A区,南山区,南油站,2,,,1,,,,,,,,南山区索尔顿公寓1楼美团买菜（南山陶然居5栋1楼）,,,113.929512,22.510733
深圳13区,宝安区,南环站,1,,,,,,,,,,,深圳市宝安区新桥街道东环路372号兴恒达工业区,,,113.795708,22.713587
深圳7区,龙华区,民旺站,10,1,,1,2,,,,,,,深圳市龙华区民治街道新区大道507-1号上丰商务中心2号、3号楼1楼B区,,,114.037193,22.621302
深圳7区,龙华区,民发站,5,1,,1,3,,,,,,,润达圆庭G栋负一楼小象超市,,,114.035851,22.618681
深圳8区,龙华区,美澜站,5,,,,,,,,,,,深圳市龙华区怡力科技园A栋,,,114.053337,22.688789
深圳10区,福田区,梅景站,10,2,1,,,,,,,,,新安三路大浪社区篮球场正对面巷子进来20米,,,114.037689,22.562634
深圳4A区,罗湖区,罗芳站,5,,,,,,,,,,,深圳市龙岗区龙城街道爱联社区如意路301号1层101,,,114.142975,22.543833
深圳2区,龙岗区,龙园站,2,,,,,,,,,,,深圳市龙岗区盛平南路24号A栋一层,,,114.262573,22.726217
惠州1A区,大亚湾西区,龙盛站,,,1,3,,,,,,,,深圳市大鹏新区坪葵路11号鑫园广场101-1,,,114.432994,22.756801
深圳7区,龙华区,龙胜站,,,2,,,,,,,,,深圳市龙华区华明路68创意园进门右边第一栋,,,114.015991,22.653633
深圳1区,坪山区,龙坪站,10,,3,,,,,,,,,深圳市龙岗区龙岗街道新生社区坪西南路东7号蓝海科技园一层A101,,,114.334831,22.700514
深圳8B区,龙华区,龙环站,,,,,,,,,,,,深圳市龙华区龙华镇东环二路东侧锦华发厂区 厂房10栋二楼,,,114.029198,22.66374
深圳7区,龙华区,龙华站,5,,,,,,,,,,,广东省深圳市龙华区大浪街道陶元社区云峰路35号A栋厂房1层,,,114.0214,22.641851
深圳2区,龙岗区,龙飞站,5,,,,,,,,,,,深圳市龙岗区龙岗街道五联社区齐心路8号A栋厂房103,,,114.214127,22.712637
深圳3区,龙岗区,六和站,1,,,2,,,,,,,,深圳市横岗六约六和路25号一层A108室,,,114.193535,22.634258
深圳9A区,南山区,留仙站,4,,,1,4,,,,,,,深圳市福田区褔强路福田中港城裙楼1C1,,,113.998192,22.590733
深圳10区,宝安区,灵芝站,10,,,,3,,,,,,,东莞市常平镇板石新围工业大街7号101室,,,113.910723,22.569825
深圳10区,南山区,荔香站,3,2,,3,2,,,,,,,龙岗区坪地街道湖田路51号乐兴百货旁边东方酒店的侧面，定位搜（小象超市天宏街）,,,113.919258,22.535774
深圳11区,南山区,荔山站,10,2,1,,,,,,,,,深圳市南山区南山街道荔湾社区缘山路63号荔山工业区1栋1层101室,,,113.893661,22.488522
深圳4区,福田区,利嘉站,5,,3,,,,,,,,,深圳市龙岗区平湖镇广弘中心c栋101号商铺  ,,,114.101768,22.565381
深圳1区,龙岗区,蓝海站,,,,,,,,,,,,广东省深圳市坪山区马峦街道江岭群代路6号二栋101，一栋一楼,,,114.282272,22.750179
深圳3区,龙岗区,康正站,10,,2,,,,,,,,,深圳市龙岗区布吉街道丹竹头社区康正路1号厂房101,,,114.146332,22.628035
深圳12区,光明区,康茂站,5,,,,,,,,,,,深圳市光明区凤凰街道甲子塘社区第二工业区三巷一号F栋109（佳德福百货超市）,,,113.918999,22.730312
深圳12区,光明区,俊星站,,,,,,,,,,,,深圳市光明区马田街道合水口社区新时艺工业村3栋，中骏星文化创意园A栋,,,113.878548,22.783163
深圳4A区,罗湖区,聚宝站,2,,,,,,,,,,,深圳市罗湖区贝丽南路1号龙丽园大厦1-12号,,,114.16964,22.565971
深圳11区,宝安区,钜鑫站,,,,,,,,,,,,深圳市宝安区西乡街道南昌路60号13栋101室钜鑫产业园小象超市（钜鑫站）,,,113.842697,22.595963
深圳8A区,龙华区,桔塘站,,,,,,,,,,,,深圳市龙华新区福前路桔岭新村241号一层,,,114.025314,22.725779
深圳2区,龙岗区,景芬站,5,,,,,,,,,,,深圳市龙岗区龙河小区九州家园二期10栋商铺，大牛火锅（九州家园店）,,,114.130005,22.625856
深圳7区,龙华区,锦尚站,6,,,2,2,,1,0,,,,深圳市福田区香蜜湖街道竹园社区农林路41号深南综合市场142,,,114.047714,22.602551
深圳11A区,宝安区,锦花站,2,1,,,,,,1,,,,深圳市宝安区西乡街道锦花路38号天骄荟一楼,,,113.89241,22.586428
深圳13区,宝安区,锦程站,1,,,,,,,,,,,深圳市南山区蛇口街道联合工业村B栋蛇口荣村工业小区4栋二楼,,,113.78643,22.736301
