时段,城市,站点id,站点名称,全职满编率,全职分拣员满编率,全职理货员满编率,全职水产员满编率
20250916,武汉,10000363,小象超市-秦园东路站-WH0075,1.2142857143,1,1.25,3
20250916,北京,10000504,小象超市-环科路站-BJ0226,1.1153846154,1.0666666667,1.2857142857,1
20250916,宁波,10001086,小象超市-翠柏站-NB0003,0.9696969697,0.9333333333,0.9090909091,1
20250916,北京,10000393,小象超市-永丰南站-BJ0207,1.0263157895,1,1,1
20250916,合肥,10001351,小象超市-新海站-HF0004,0.6666666667,0.5652173913,1,0.2
20250916,上海,10000183,小象超市-国权北路站-SH0092,1.0357142857,0.9333333333,1.25,1.3333333333
20250916,北京,10000442,小象超市-沙河东站-BJ0213,1.05,0.9090909091,1.25,1.3333333333
20250916,宁波,10001295,小象超市-南滨站-NB0013,0.78,0.92,0.5294117647,1
20250916,深圳,10000543,小象超市-民旺站-SZ0191,1.2702702703,1.45,1,1
20250916,上海,10000823,小象超市-水丰路站-SH0188,0.9411764706,0.8947368421,0.8888888889,0.75
W38,广州,10001246,小象超市-增城荔城站-GZ0191,1.1034482759,0.9230769231,1,1.8
W38,上海,10000562,小象超市-浦建路站-SH0140,1.1904761905,1.347826087,0.8333333333,1.5
W38,宁波,10001122,小象超市-通达站-NB0007,1.0384615385,0.9090909091,1.2222222222,1
W38,北京,10000343,小象超市-北沙滩站-BJ0188,0.9714285714,0.9473684211,1.1,1.3333333333
W38,深圳,10001307,小象超市-意库站-SZ0288,1.2972972973,1.2,1.7777777778,1.2
W38,杭州,10001143,小象超市-博览站-HZ0050,0.847826087,1.0416666667,0.5714285714,0.8
W38,佛山,10000173,小象超市-佑一城站-FS0005,1.0689655172,1,1,1.4
W38,北京,10000248,小象超市-古城北路站-BJ0161,0.7083333333,0.7692307692,0.7142857143,1
W38,北京,10000430,小象超市-顺平路站-BJ0210,1,1,0.7857142857,1
202509,广州,10000531,小象超市-番禺板桥站-GZ0116,0.9655172414,0.9333333333,1,1
202509,深圳,10000486,小象超市-华赛站-SZ0172,0.976744186,0.9130434783,1.0833333333,1
202509,北京,10000093,小象超市-天桥站-BJ0129,1,0.7142857143,1.3333333333,1
202509,北京,10000851,小象超市-拱辰站-BJ0282,1,0.9375,1.1111111111,1
202509,上海,10000979,小象超市-天山路站-SH0218,1.0869565217,1,1.1428571429,1.5
20250916-20250917,NULL,10000971,小象超市-大朗长盛站-DG0020,0.9204545455,0.9761904762,0.8571428571,1
20250916-20250917,NULL,10000692,小象超市-盘门站-SUZ007,1.0384615385,1.0769230769,1,1
20250916-20250917,NULL,187,小象超市-前海站-SZ0006,1.0909090909,1.1153846154,1.1,1.2
