招聘单位,城市,位置,经度,维度,当前是否招聘,全职,保险情况,吃住情况,面试时间,试岗时间,岗位类型,性别,年龄要求,特殊要求,是否接受有犯罪记录,运力紧急情况,工作时间,相关经验,薪资,工作内容
白云石井站,广州,广州市白云区西槎路989号1栋101号,113.235771,23.181711,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班分拣员,女,18~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,早7晚7/早8晚8/早9晚9（偶尔会有6:30、11:00的班次，一周排班一次，月休4-6天）,无需经验，有经验者优先,底薪2340+绩效400+生活补贴0-500+职级补贴(100-700)+计件薪资，综合6000-8000,用户在小象超市app上面下了订单，然后去货架上找东西装袋子里，放一边给骑手去配送
白云石井站,广州,广州市白云区西槎路989号1栋101号,113.235771,23.181711,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,水产员,不限,18~32,有经验优先,否,0,早7:00晚7：30、早8:00晚8:30、早9:00晚9:30、早10:00晚10:30等班次，中间休息一小时。月休4-8天,优先做过厨房和后厨,2000-2400+920补助+2980绩效+职级工资(水产证初级500-中级1000-高级1500）=6000-7800,养鱼，杀鱼，捞虾(处理水产品)
白云凰岗站,广州,广州市白云区凰岗凤凰路296号1M019,113.223007,23.19458,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班分拣员,女,18~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,早7晚7/早8晚8/早9晚9（偶尔会有6:30、11:00的班次，一周排班一次，月休4-6天）,无需经验，有经验者优先,底薪2340+绩效400+生活补贴0-500+职级补贴(100-700)+计件薪资，综合6000-8000,用户在小象超市app上面下了订单，然后去货架上找东西装袋子里，放一边给骑手去配送
白云凰岗站,广州,广州市白云区凰岗凤凰路296号1M019,113.223007,23.19458,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班理货员,男,18~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,7：00-19:00/ 8：00-20:00/ 9：00-21:00（做5休2/做六休一门店排班）,无需经验，有经验者优先,固定薪资2340-2840+职级补贴0-700+绩效500+计件提成，综合薪资6000-8000元/月,超市货架空时，需要从库房拉货把货架补齐，在岗时，需要货架饱满状态，遇到缺货时，及时找主管进行订货
白云凰岗站,广州,广州市白云区凰岗凤凰路296号1M019,113.223007,23.19458,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,水产员,不限,18~32,有经验优先,否,0,早7:00晚7：30、早8:00晚8:30、早9:00晚9:30、早10:00晚10:30等班次，中间休息一小时。月休4-8天,优先做过厨房和后厨,2000-2400+920补助+2980绩效+职级工资(水产证初级500-中级1000-高级1500）=6000-7800,养鱼，杀鱼，捞虾(处理水产品)
新市站,广州,广州市白云区棠涌黄沙岗南街欧PARK时空创业中心,113.258575,23.200998,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班分拣员,女,18~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,早7晚7/早8晚8/早9晚9（偶尔会有6:30、11:00的班次，一周排班一次，月休4-6天）,无需经验，有经验者优先,底薪2340+绩效400+生活补贴0-500+职级补贴(100-700)+计件薪资，综合6000-8000,用户在小象超市app上面下了订单，然后去货架上找东西装袋子里，放一边给骑手去配送
新市站,广州,广州市白云区棠涌黄沙岗南街欧PARK时空创业中心,113.258575,23.200998,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,水产员,不限,18~32,有经验优先,否,0,早7:00晚7：30、早8:00晚8:30、早9:00晚9:30、早10:00晚10:30等班次，中间休息一小时。月休4-8天,优先做过厨房和后厨,2000-2400+920补助+2980绩效+职级工资(水产证初级500-中级1000-高级1500）=6000-7800,养鱼，杀鱼，捞虾(处理水产品)
远景路站,广州,白云区远景路14号首层,113.253426,23.171923,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班分拣员,女,18~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,早7晚7/早8晚8/早9晚9（偶尔会有6:30、11:00的班次，一周排班一次，月休4-6天）,无需经验，有经验者优先,底薪2340+绩效400+生活补贴0-500+职级补贴(100-700)+计件薪资，综合6000-8000,用户在小象超市app上面下了订单，然后去货架上找东西装袋子里，放一边给骑手去配送
鹤龙站,广州,白云区鹤龙街鹤泰路89号惠信楼101房,113.273415,23.215281,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班分拣员,女,18~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,早7晚7/早8晚8/早9晚9（偶尔会有6:30、11:00的班次，一周排班一次，月休4-6天）,无需经验，有经验者优先,底薪2340+绩效400+生活补贴0-500+职级补贴(100-700)+计件薪资，综合6000-8000,用户在小象超市app上面下了订单，然后去货架上找东西装袋子里，放一边给骑手去配送
鹤龙站,广州,白云区鹤龙街鹤泰路89号惠信楼101房,113.273415,23.215281,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,水产员,不限,18~32,有经验优先,否,0,早7:00晚7：30、早8:00晚8:30、早9:00晚9:30、早10:00晚10:30等班次，中间休息一小时。月休4-8天,优先做过厨房和后厨,2000-2400+920补助+2980绩效+职级工资(水产证初级500-中级1000-高级1500）=6000-7800,养鱼，杀鱼，捞虾(处理水产品)
